1,1.21355|
436,-0.26162|871,-0.26520|1306,-0.27264|1740,-0.27283|2175,-0.27284|2610,-0.27290|3045,-0.27291|3480,-0.27290|
3914,-0.27278|4347,-0.27284|4781,-0.27284|5215,-0.27280|5649,-0.27278|6084,-0.27286|6518,-0.27285|6953,-0.27284|
7388,-0.27286|7823,-0.27283|8257,-0.27281|8692,-0.27285|9127,-0.27284|9561,-0.27280|9995,-0.27285|10429,-0.27290|
10862,-0.27285|11296,-0.27283|11730,-0.27286|12164,-0.27285|12598,-0.27285|13032,-0.27285|13465,-0.27282|13899,-0.27282|
14333,-0.27275|14766,-0.27284|15200,-0.27287|15633,-0.27283|16066,-0.27281|16500,-0.27282|16933,-0.27286|17366,-0.27286|
17799,-0.27285|18232,-0.27282|18666,-0.27286|19099,-0.27287|19532,-0.27283|19966,-0.27283|20399,-0.27287|20832,-0.27285|
21265,-0.27282|21699,-0.27285|22132,-0.27287|22565,-0.27287|22998,-0.27286|23431,-0.27289|23864,-0.27285|24297,-0.27283|
24730,-0.27284|25164,-0.27286|25597,-0.27286|26030,-0.27282|26463,-0.27286|26896,-0.27286|27329,-0.27285|27763,-0.27284|
28197,-0.27285|28632,-0.27286|29067,-0.27283|29502,-0.27285|29936,-0.27284|30371,-0.27283|30806,-0.27285|31241,-0.27286|
31676,-0.27283|32111,-0.27286|32546,-0.27286|32980,-0.27284|33415,-0.27282|33850,-0.27285|34285,-0.27285|34720,-0.27285|
35155,-0.27285|35590,-0.27283|36025,-0.27283|36460,-0.27284|36895,-0.27285|37330,-0.27282|37765,-0.27282|38200,-0.27285|
38635,-0.27284|39070,-0.27284|39504,-0.27284|39939,-0.27286|40374,-0.27283|40810,-0.27285|41244,-0.27285|41679,-0.27286|
42114,-0.27284|42550,-0.27284|42985,-0.27282|43419.29594492912 50000
